Accession	Title
GSM3170059	C05_08_S68
GSM3170340	C05_09_S55
GSM3170341	C05_10_S56
GSM3170342	C05_11_S67
GSM3170343	C05_12_S68
GSM3170344	C05_13_S79
GSM3170345	C05_14_S80
GSM3170346	C05_15_S91
GSM3170347	C05_16_S92
GSM3170060	C06_01_S6
GSM3170348	C06_01_S9
GSM3170349	C06_02_S10
GSM3170061	C06_02_S7
GSM3170062	C06_03_S15
GSM3170350	C06_03_S21
GSM3170063	C06_04_S16
GSM3170351	C06_04_S22
GSM3170064	C06_05_S24
GSM3170352	C06_05_S33
GSM3170065	C06_06_S25
GSM3170353	C06_06_S34
GSM3170066	C06_07_S33
GSM3170354	C06_07_S45
GSM3170067	C06_08_S34
GSM3170355	C06_08_S46
GSM3170068	C06_09_S42
GSM3170356	C06_09_S57
GSM3170069	C06_10_S43
GSM3170357	C06_10_S58
GSM3170070	C06_11_S51
GSM3170358	C06_11_S69
GSM3170071	C06_12_S52
GSM3170359	C06_12_S70
GSM3170072	C06_13_S60
GSM3170360	C06_13_S81
GSM3170073	C06_14_S61
GSM3170361	C06_14_S82
GSM3170074	C06_15_S69
GSM3170362	C06_15_S93
GSM3170075	C06_16_S70
GSM3170363	C06_16_S94
GSM3170364	C07_01_S11
GSM3170076	C07_01_S8
GSM3170365	C07_02_S12
GSM3170077	C07_02_S9
GSM3170078	C07_03_S17
GSM3170366	C07_03_S23
GSM3170079	C07_04_S18
GSM3170367	C07_04_S24
GSM3170080	C07_05_S26
GSM3170368	C07_05_S35
GSM3170081	C07_06_S27
GSM3170369	C07_06_S36
GSM3170082	C07_07_S35
GSM3170370	C07_07_S47
GSM3170083	C07_08_S36
GSM3170371	C07_08_S48
GSM3170084	C07_09_S44
GSM3170372	C07_09_S59
GSM3170085	C07_10_S45
GSM3170373	C07_10_S60
GSM3170086	C07_11_S53
GSM3170374	C07_11_S71
GSM3170087	C07_12_S54
GSM3170375	C07_12_S72
GSM3170088	C07_13_S62
GSM3170376	C07_13_S83
GSM3170377	C07_14_pos_S84
GSM3170089	C07_14_positive_S63
GSM3170090	C07_15_S71
GSM3170378	C07_15_S95
GSM3170379	C07_16_neg_S96
GSM3170091	C08_01_S73
GSM3170380	C08_01_S97
GSM3170092	C08_02_S74
GSM3170381	C08_02_S98
GSM3170382	C08_03_S109
GSM3170093	C08_03_S85
GSM3170383	C08_04_S110
GSM3170094	C08_04_S86
GSM3170384	C08_05_S121
GSM3170095	C08_05_S97
GSM3170385	C08_06_S122
GSM3170096	C08_06_S98
GSM3170097	C08_07_S109
GSM3170386	C08_07_S133
GSM3170098	C08_08_S110
GSM3170387	C08_08_S134
GSM3170099	C08_09_S121
GSM3170388	C08_09_S145
GSM3170100	C08_10_S122
GSM3170389	C08_10_S146
GSM3170101	C08_11_S133
GSM3170390	C08_11_S157
GSM3170102	C08_12_S134
GSM3170391	C08_12_S158
GSM3170103	C08_13_S145
GSM3170392	C08_13_S169
GSM3170104	C08_14_S146
GSM3170393	C08_14_S170
GSM3170105	C08_15_S157
GSM3170394	C08_15_S181
GSM3170106	C08_16_S158
GSM3170395	C08_16_S182
GSM3170107	C09_01_S75
GSM3170396	C09_01_S99
GSM3170397	C09_02_S100
GSM3170108	C09_02_S76
GSM3170398	C09_03_S111
GSM3170109	C09_03_S87
GSM3170399	C09_04_S112
GSM3170110	C09_04_S88
GSM3170400	C09_05_S123
GSM3170111	C09_05_S99
GSM3170112	C09_06_S100
GSM3170401	C09_06_S124
GSM3170113	C09_07_S111
GSM3170402	C09_07_S135
GSM3170114	C09_08_S112
GSM3170403	C09_08_S136
GSM3170115	C09_09_S123
GSM3170404	C09_09_S147
GSM3170116	C09_10_S124
GSM3170405	C09_10_S148
GSM3170117	C09_11_S135
GSM3170406	C09_11_S159
GSM3170118	C09_12_S136
GSM3170407	C09_12_S160
GSM3170119	C09_13_S147
GSM3170408	C09_13_S171
GSM3170120	C09_14_S148
GSM3170409	C09_14_S172
GSM3170121	C09_15_S159
GSM3170410	C09_15_S183
GSM3170122	C09_16_S160
GSM3170411	C09_16_S184
GSM3170412	C10_01_S101
GSM3170123	C10_01_S77
GSM3170413	C10_02_S102
GSM3170124	C10_02_S78
GSM3170414	C10_03_S113
GSM3170125	C10_03_S89
GSM3170415	C10_04_S114
GSM3170126	C10_04_S90
GSM3170127	C10_05_S101
GSM3170416	C10_05_S125
GSM3170128	C10_06_S102
GSM3170417	C10_06_S126
GSM3170129	C10_07_S113
GSM3170418	C10_07_S137
GSM3170130	C10_08_S114
GSM3170419	C10_08_S138
GSM3170131	C10_09_S125
GSM3170420	C10_09_S149
GSM3170132	C10_10_S126
GSM3170421	C10_10_S150
GSM3170133	C10_11_S137
GSM3170422	C10_11_S161
GSM3170134	C10_12_S138
GSM3170423	C10_12_S162
GSM3170135	C10_13_S149
GSM3170424	C10_13_S173
GSM3170136	C10_14_S150
GSM3170425	C10_14_S174
GSM3170137	C10_15_S161
GSM3170426	C10_15_S185
GSM3170138	C10_16_S162
GSM3170427	C10_16_S186
GSM3170428	C11_01_S103
GSM3170139	C11_01_S79
GSM3170429	C11_02_S104
GSM3170140	C11_02_S80
GSM3170430	C11_03_S115
GSM3170141	C11_03_S91
GSM3170431	C11_04_S116
GSM3170142	C11_04_S92
GSM3170143	C11_05_S103
GSM3170432	C11_05_S127
GSM3170144	C11_06_S104
GSM3170433	C11_06_S128
GSM3170145	C11_07_S115
GSM3170434	C11_07_S139
GSM3170146	C11_08_S116
GSM3170435	C11_08_S140
GSM3170147	C11_09_S127
GSM3170436	C11_09_S151
GSM3170148	C11_10_S128
GSM3170437	C11_10_S152
GSM3170149	C11_11_S139
GSM3170438	C11_11_S163
GSM3170150	C11_12_S140
GSM3170439	C11_12_S164
GSM3170151	C11_13_S151
GSM3170440	C11_13_S175
GSM3170152	C11_14_S152
GSM3170441	C11_14_S176
GSM3170153	C11_15_S163
GSM3170442	C11_15_S187
GSM3170154	C11_16_S164
GSM3170443	C11_16_S188
GSM3170444	C12_01_S105
GSM3170155	C12_01_S81
GSM3170445	C12_02_S106
GSM3170156	C12_02_S82
GSM3170446	C12_03_S117
GSM3170157	C12_03_S93
GSM3170447	C12_04_S118
GSM3170158	C12_04_S94
GSM3170159	C12_05_S105
GSM3170448	C12_05_S129
GSM3170160	C12_06_S106
GSM3170449	C12_06_S130
GSM3170161	C12_07_S117
GSM3170450	C12_07_S141
GSM3170162	C12_08_S118
GSM3170451	C12_08_S142
GSM3170163	C12_09_S129
GSM3170452	C12_09_S153
GSM3170164	C12_10_S130
GSM3170453	C12_10_S154
GSM3170165	C12_11_S141
GSM3170454	C12_11_S165
GSM3170166	C12_12_S142
GSM3170455	C12_12_S166
GSM3170167	C12_13_S153
GSM3170456	C12_13_S177
GSM3170168	C12_14_S154
GSM3170457	C12_14_S178
GSM3170169	C12_15_S165
GSM3170458	C12_15_S189
GSM3170170	C12_16_S166
GSM3170459	C12_16_S190
GSM3170460	C13_01_S107
GSM3170171	C13_01_S83
GSM3170461	C13_02_S108
GSM3170172	C13_02_S84
GSM3170462	C13_03_S119
GSM3170173	C13_03_S95
GSM3170463	C13_04_S120
GSM3170174	C13_04_S96
GSM3170175	C13_05_S107
GSM3170464	C13_05_S131
GSM3170176	C13_06_S108
GSM3170465	C13_06_S132
GSM3170177	C13_07_S119
GSM3170466	C13_07_S143
GSM3170178	C13_08_S120
GSM3170467	C13_08_S144
GSM3170179	C13_09_S131
GSM3170468	C13_09_S155
GSM3170180	C13_10_S132
GSM3170469	C13_10_S156
GSM3170181	C13_11_S143
GSM3170470	C13_11_S167
GSM3170182	C13_12_S144
GSM3170471	C13_12_S168
GSM3170183	C13_13_S155
GSM3170472	C13_13_S179
GSM3170473	C13_14_pos_S180
GSM3170184	C13_14_positive_S156
GSM3170185	C13_15_S167
GSM3170474	C13_15_S191
GSM3170475	C13_16_neg_S192
GSM3169748	C14_01_S81
GSM3169749	C14_02_S82
GSM3169750	C14_03_S93
GSM3169751	C14_04_S94
GSM3169752	C14_05_S105
GSM3169753	C14_06_S106
GSM3169754	C14_07_S117
GSM3169755	C14_08_S118
GSM3169756	C14_09_S129
GSM3169757	C14_10_S130
GSM3169758	C14_11_S141
GSM3169759	C14_12_S142
GSM3169760	C14_13_S153
GSM3169761	C14_14_S154
GSM3169762	C14_15_S165
GSM3169763	C14_16_S166
GSM3170476	C15_01_S193
GSM3169764	C15_01_S83
GSM3170477	C15_02_S194
GSM3169765	C15_02_S84
GSM3170478	C15_03_S205
GSM3169766	C15_03_S95
GSM3170479	C15_04_S206
GSM3169767	C15_04_S96
GSM3169768	C15_05_S107
GSM3170480	C15_05_S217
GSM3169769	C15_06_S108
GSM3170481	C15_06_S218
GSM3169770	C15_07_S119
GSM3170482	C15_07_S229
GSM3169771	C15_08_S120
GSM3170483	C15_08_S230
GSM3169772	C15_09_S131
GSM3170484	C15_09_S241
GSM3169773	C15_10_S132
GSM3170485	C15_10_S242
GSM3169774	C15_11_S143
GSM3170486	C15_11_S253
GSM3169775	C15_12_S144
GSM3170487	C15_12_S254
GSM3169776	C15_13_S155
GSM3170488	C15_13_S265
GSM3169777	C15_14_S156
GSM3170489	C15_14_S266
GSM3169778	C15_15_S167
GSM3170490	C15_15_S277
GSM3169779	C15_16_S168
GSM3170491	C15_16_S278
GSM3170492	C16_01_S195
GSM3169780	C16_01_S85
GSM3170493	C16_02_S196
GSM3169781	C16_02_S86
GSM3170494	C16_03_S207
GSM3169782	C16_03_S97
GSM3170495	C16_04_S208
GSM3169783	C16_04_S98
GSM3169784	C16_05_S109
GSM3170496	C16_05_S219
GSM3169785	C16_06_S110
GSM3170497	C16_06_S220
GSM3169786	C16_07_S121
GSM3170498	C16_07_S231
GSM3169787	C16_08_S122
GSM3170499	C16_08_S232
GSM3169788	C16_09_S133
GSM3170500	C16_09_S243
GSM3169789	C16_10_S134
GSM3170501	C16_10_S244
GSM3169790	C16_11_S145
GSM3170502	C16_11_S255
GSM3169791	C16_12_S146
GSM3170503	C16_12_S256
GSM3169792	C16_13_S157
GSM3170504	C16_13_S267
GSM3169793	C16_14_S158
GSM3170505	C16_14_S268
GSM3169794	C16_15_S169
GSM3170506	C16_15_S279
GSM3169795	C16_16_S170
GSM3170507	C16_16_S280
GSM3170508	C17_01_S197
GSM3169796	C17_01_S87
GSM3170509	C17_02_S198
GSM3169797	C17_02_S88
GSM3170510	C17_03_S209
GSM3169798	C17_03_S99
GSM3169799	C17_04_S100
GSM3170511	C17_04_S210
GSM3169800	C17_05_S111
GSM3170512	C17_05_S221
GSM3169801	C17_06_S112
GSM3170513	C17_06_S222
GSM3169802	C17_07_S123
GSM3170514	C17_07_S233
GSM3169803	C17_08_S124
GSM3170515	C17_08_S234
GSM3169804	C17_09_S135
GSM3170516	C17_09_S245
GSM3169805	C17_10_S136
GSM3170517	C17_10_S246
GSM3169806	C17_11_S147
GSM3170518	C17_11_S257
GSM3169807	C17_12_S148
GSM3170519	C17_12_S258
GSM3169808	C17_13_S159
GSM3170520	C17_13_S269
GSM3169809	C17_14_S160
GSM3170521	C17_14_S270
GSM3169810	C17_15_S171
GSM3170522	C17_15_S281
GSM3169811	C17_16_S172
GSM3170523	C17_16_S282
GSM3170524	C18_01_S199
GSM3169812	C18_01_S89
GSM3170525	C18_02_S200
GSM3169813	C18_02_S90
GSM3169814	C18_03_S101
GSM3170526	C18_03_S211
GSM3169815	C18_04_S102
GSM3170527	C18_04_S212
GSM3169816	C18_05_S113
GSM3170528	C18_05_S223
GSM3169817	C18_06_S114
GSM3170529	C18_06_S224
GSM3169818	C18_07_S125
GSM3170530	C18_07_S235
GSM3169819	C18_08_S126
GSM3170531	C18_08_S236
GSM3169820	C18_09_S137
GSM3170532	C18_09_S247
GSM3169821	C18_10_S138
GSM3170533	C18_10_S248
GSM3169822	C18_11_S149
GSM3170534	C18_11_S259
GSM3169823	C18_12_S150
GSM3170535	C18_12_S260
GSM3169824	C18_13_S161
GSM3170536	C18_13_S271
GSM3169825	C18_14_S162
GSM3170537	C18_14_S272
GSM3169826	C18_15_S173
GSM3170538	C18_15_S283
GSM3169827	C18_16_S174
GSM3170539	C18_16_S284
GSM3170540	C19_01_S201
GSM3169828	C19_01_S91
GSM3170541	C19_02_S202
GSM3169829	C19_02_S92
GSM3169830	C19_03_S103
GSM3170542	C19_03_S213
GSM3169831	C19_04_S104
GSM3170543	C19_04_S214
GSM3169832	C19_05_S115
GSM3170544	C19_05_S225
GSM3169833	C19_06_S116
GSM3170545	C19_06_S226
GSM3169834	C19_07_S127
GSM3170546	C19_07_S237
GSM3169835	C19_08_S128
GSM3170547	C19_08_S238
GSM3169836	C19_09_S139
GSM3170548	C19_09_S249
GSM3169837	C19_10_S140
GSM3170549	C19_10_S250
GSM3169838	C19_11_S151
GSM3170550	C19_11_S261
GSM3169839	C19_12_S152
GSM3170551	C19_12_S262
GSM3169840	C19_13_S163
GSM3170552	C19_13_S273
GSM3170553	C19_14_S274
GSM3169841	C19_14_positive_S164
GSM3169842	C19_15_S175
GSM3170554	C19_15_S285
GSM3170555	C19_16_S286
GSM3169843	C20_01_S1
GSM3170556	C20_01_S203
GSM3169844	C20_02_S2
GSM3170557	C20_02_S204
GSM3169845	C20_03_S11
GSM3170558	C20_03_S215
GSM3169846	C20_04_S12
GSM3170559	C20_04_S216
GSM3169847	C20_05_S21
GSM3170560	C20_05_S227
GSM3169848	C20_06_S22
GSM3170561	C20_06_S228
GSM3170562	C20_07_S239
GSM3169849	C20_07_S31
GSM3170563	C20_08_S240
GSM3169850	C20_08_S32
GSM3170564	C20_09_S251
GSM3169851	C20_09_S41
GSM3170565	C20_10_S252
GSM3169852	C20_10_S42
GSM3170566	C20_11_S263
GSM3169853	C20_11_S51
GSM3170567	C20_12_S264
GSM3169854	C20_12_S52
GSM3170568	C20_13_S275
GSM3169855	C20_13_S61
GSM3169856	C20_14_S62
GSM3170569	C20_14_pos_S276
GSM3170570	C20_15_S287
GSM3169857	C20_15_S71
GSM3169858	C20_16_S72
GSM3170571	C20_16_neg_S288
GSM3169859	C21_01_S3
GSM3169860	C21_02_S4
GSM3169861	C21_03_S13
GSM3169862	C21_04_S14
GSM3169863	C21_05_S23
GSM3169864	C21_06_S24
GSM3169865	C21_07_S33
GSM3169866	C21_08_S34
GSM3169867	C21_09_S43
GSM3169868	C21_10_S44
GSM3169869	C21_11_S53
GSM3169870	C21_12_S54
GSM3169871	C21_13_S63
GSM3169872	C21_14_S64
GSM3169873	C21_15_S73
GSM3169874	C21_16_S74
GSM3170572	C22_01_S289
GSM3169875	C22_01_S5
GSM3169876	C22_02_S15
GSM3170573	C22_02_S290
GSM3169877	C22_03_S25
GSM3170574	C22_03_S301
GSM3170575	C22_04_S302
GSM3169878	C22_04_S35
GSM3170576	C22_05_S313
GSM3169879	C22_05_S45
GSM3170577	C22_06_S314
GSM3169880	C22_06_S55
GSM3170578	C22_07_S325
GSM3169881	C22_07_S65
GSM3170579	C22_08_S326
GSM3169882	C22_08_S75
GSM3170580	C22_09_S337
GSM3170581	C22_10_S338
GSM3170582	C22_11_S349
GSM3170583	C22_12_S350
GSM3170584	C22_13_S361
GSM3170585	C22_14_S362
GSM3170586	C22_15_S373
GSM3170587	C22_16_S374
GSM3170588	C23_01_S291
GSM3169883	C23_01_S6
GSM3169884	C23_02_S16
GSM3170589	C23_02_S292
GSM3169885	C23_03_S26
GSM3170590	C23_03_S303
GSM3170591	C23_04_S304
GSM3169886	C23_04_S36
GSM3170592	C23_05_S315
GSM3169887	C23_05_S46
GSM3170593	C23_06_S316
GSM3169888	C23_06_S56
GSM3170594	C23_07_S327
GSM3169889	C23_07_S66
GSM3170595	C23_08_S328
GSM3169890	C23_08_S76
GSM3170596	C23_09_S339
GSM3170597	C23_10_S340
GSM3170598	C23_11_S351
GSM3170599	C23_12_S352
GSM3170600	C23_13_S363
GSM3170601	C23_14_S364
GSM3170602	C23_15_S375
GSM3170603	C23_16_S376
GSM3170604	C24_01_S293
GSM3169891	C24_01_S7
GSM3170605	C24_02_S294
GSM3169892	C24_02_S8
GSM3169893	C24_03_S17
GSM3170606	C24_03_S305
GSM3169894	C24_04_S18
GSM3170607	C24_04_S306
GSM3169895	C24_05_S27
GSM3170608	C24_05_S317
GSM3169896	C24_06_S28
GSM3170609	C24_06_S318
GSM3170610	C24_07_S329
GSM3169897	C24_07_S37
GSM3170611	C24_08_S330
GSM3169898	C24_08_S38
GSM3170612	C24_09_S341
GSM3169899	C24_09_S47
GSM3170613	C24_10_S342
GSM3169900	C24_10_S48
GSM3170614	C24_11_S353
GSM3169901	C24_11_S57
GSM3170615	C24_12_S354
GSM3169902	C24_12_S58
GSM3170616	C24_13_S365
GSM3169903	C24_13_S67
GSM3170617	C24_14_S366
GSM3169904	C24_14_S68
GSM3170618	C24_15_S377
GSM3169905	C24_15_S77
GSM3170619	C24_16_S378
GSM3169906	C24_16_S78
GSM3170620	C25_01_S295
GSM3170621	C25_02_S296
GSM3170622	C25_03_S307
GSM3170623	C25_04_S308
GSM3170624	C25_05_S319
GSM3170625	C25_06_S320
GSM3170626	C25_07_S331
GSM3170627	C25_08_S332
GSM3170628	C25_09_S343
GSM3170629	C25_10_S344
GSM3170630	C25_11_S355
GSM3170631	C25_12_S356
GSM3170632	C25_13_S367
GSM3170633	C25_14_S368
GSM3170634	C25_15_S379
GSM3170635	C25_16_S380
GSM3170636	C26_01_S297
GSM3169907	C26_01_S9
GSM3169908	C26_02_S10
GSM3170637	C26_02_S298
GSM3169909	C26_03_S19
GSM3170638	C26_03_S309
GSM3169910	C26_04_S20
GSM3170639	C26_04_S310
GSM3169911	C26_05_S29
GSM3170640	C26_05_S321
GSM3169912	C26_06_S30
GSM3170641	C26_06_S322
GSM3170642	C26_07_S333
GSM3169913	C26_07_S39
GSM3170643	C26_08_S334
GSM3169914	C26_08_S40
GSM3170644	C26_09_S345
GSM3169915	C26_09_S49
GSM3170645	C26_10_S346
GSM3169916	C26_10_S50
GSM3170646	C26_11_S357
GSM3169917	C26_11_S59
GSM3170647	C26_12_S358
GSM3169918	C26_12_S60
GSM3170648	C26_13_S369
GSM3169919	C26_13_S69
GSM3170649	C26_14_S370
GSM3169920	C26_14_S70
GSM3170650	C26_15_S381
GSM3169921	C26_15_S79
GSM3170651	C26_16_S382
GSM3169922	C26_16_S80
GSM3169923	C27_01_S177
GSM3170652	C27_01_S299
GSM3169924	C27_02_S178
GSM3170653	C27_02_S300
GSM3169925	C27_03_S189
GSM3170654	C27_03_S311
GSM3169926	C27_04_S190
GSM3170655	C27_04_S312
GSM3169927	C27_05_S201
GSM3170656	C27_05_S323
GSM3169928	C27_06_S202
GSM3170657	C27_06_S324
GSM3169929	C27_07_S213
GSM3170658	C27_07_S335
GSM3169930	C27_08_S214
GSM3170659	C27_08_S336
GSM3169931	C27_09_S225
GSM3170660	C27_09_S347
GSM3169932	C27_10_S226
GSM3170661	C27_10_S348
GSM3169933	C27_11_S237
GSM3170662	C27_11_S359
GSM3169934	C27_12_S238
GSM3170663	C27_12_S360
GSM3169935	C27_13_S249
GSM3170664	C27_13_S371
GSM3169936	C27_14_S250
GSM3170665	C27_14_pos_S372
GSM3169937	C27_15_S261
GSM3170666	C27_15_S383
GSM3169938	C27_16_S262
GSM3170667	C27_16_neg_S384
GSM3169939	C28_01_S179
GSM3169940	C28_02_S180
GSM3169941	C28_03_S191
GSM3169942	C28_04_S192
GSM3169943	C28_05_S203
GSM3169944	C28_06_S204
GSM3169945	C28_07_S215
GSM3169946	C28_08_S216
GSM3169947	C28_09_S227
GSM3169948	C28_10_S228
GSM3169949	C28_11_S239
GSM3169950	C28_12_S240
GSM3169951	C28_13_S251
GSM3169952	C28_14_S252
GSM3169953	C28_15_S263
GSM3169954	C28_16_S264
GSM3169955	C29_01_S181
GSM3170668	C29_01_S97
GSM3169956	C29_02_S182
GSM3170669	C29_02_S98
GSM3170670	C29_03_S109
GSM3169957	C29_03_S193
GSM3170671	C29_04_S110
GSM3169958	C29_04_S194
GSM3170672	C29_05_S121
GSM3169959	C29_05_S205
GSM3170673	C29_06_S122
GSM3169960	C29_06_S206
GSM3170674	C29_07_S133
GSM3169961	C29_07_S217
GSM3170675	C29_08_S134
GSM3169962	C29_08_S218
GSM3170676	C29_09_S145
GSM3169963	C29_09_S229
GSM3170677	C29_10_S146
GSM3169964	C29_10_S230
GSM3170678	C29_11_S157
GSM3169965	C29_11_S241
GSM3170679	C29_12_S158
GSM3169966	C29_12_S242
GSM3170680	C29_13_S169
GSM3169967	C29_13_S253
GSM3170681	C29_14_S170
GSM3169968	C29_14_S254
GSM3170682	C29_15_S181
GSM3169969	C29_15_S265
GSM3170683	C29_16_S182
GSM3169970	C29_16_S266
GSM3169971	C30_01_S183
GSM3170684	C30_01_S99
GSM3170685	C30_02_S100
GSM3169972	C30_02_S184
GSM3170686	C30_03_S111
GSM3169973	C30_03_S195
GSM3170687	C30_04_S112
GSM3169974	C30_04_S196
GSM3170688	C30_05_S123
GSM3169975	C30_05_S207
GSM3170689	C30_06_S124
GSM3169976	C30_06_S208
GSM3170690	C30_07_S135
GSM3169977	C30_07_S219
GSM3170691	C30_08_S136
GSM3169978	C30_08_S220
GSM3170692	C30_09_S147
GSM3169979	C30_09_S231
GSM3170693	C30_10_S148
GSM3169980	C30_10_S232
GSM3170694	C30_11_S159
GSM3169981	C30_11_S243
GSM3170695	C30_12_S160
GSM3169982	C30_12_S244
GSM3170696	C30_13_S171
GSM3169983	C30_13_S255
GSM3170697	C30_14_S172
GSM3169984	C30_14_S256
GSM3170698	C30_15_S183
GSM3169985	C30_15_S267
GSM3170699	C30_16_S184
GSM3169986	C30_16_S268
GSM3170700	C31_01_S101
GSM3169987	C31_01_S185
GSM3170701	C31_02_S102
GSM3169988	C31_02_S186
GSM3170702	C31_03_S113
GSM3169989	C31_03_S197
GSM3170703	C31_04_S114
GSM3169990	C31_04_S198
GSM3170704	C31_05_S125
GSM3169991	C31_05_S209
GSM3170705	C31_06_S126
GSM3169992	C31_06_S210
GSM3170706	C31_07_S137
GSM3169993	C31_07_S221
GSM3170707	C31_08_S138
GSM3169994	C31_08_S222
GSM3170708	C31_09_S149
GSM3169995	C31_09_S233
GSM3170709	C31_10_S150
GSM3169996	C31_10_S234
GSM3170710	C31_11_S161
GSM3169997	C31_11_S245
GSM3170711	C31_12_S162
GSM3169998	C31_12_S246
GSM3170712	C31_13_S173
GSM3169999	C31_13_S257
GSM3170713	C31_14_S174
GSM3170000	C31_14_S258
GSM3170714	C31_15_S185
GSM3170001	C31_15_S269
GSM3170715	C31_16_S186
GSM3170002	C31_16_S270
GSM3170716	C32_01_S103
GSM3170003	C32_01_S187
GSM3170717	C32_02_S104
GSM3170004	C32_02_S188
GSM3170718	C32_03_S115
GSM3170005	C32_03_S199
GSM3170719	C32_04_S116
GSM3170006	C32_04_S200
GSM3170720	C32_05_S127
GSM3170007	C32_05_S211
GSM3170721	C32_06_S128
GSM3170008	C32_06_S212
GSM3170722	C32_07_S139
GSM3170009	C32_07_S223
GSM3170723	C32_08_S140
GSM3170010	C32_08_S224
GSM3170724	C32_09_S151
GSM3170011	C32_09_S235
GSM3170725	C32_10_S152
GSM3170012	C32_10_S236
GSM3170726	C32_11_S163
GSM3170013	C32_11_S247
GSM3170727	C32_12_S164
GSM3170014	C32_12_S248
GSM3170728	C32_13_S175
GSM3170015	C32_13_S259
GSM3170729	C32_14_S176
GSM3170016	C32_14_positive_S260
GSM3170730	C32_15_S187
GSM3170017	C32_15_S271
GSM3170731	C32_16_S188
GSM3170732	C33_01_S105
GSM3170733	C33_02_S106
GSM3170734	C33_03_S117
GSM3170735	C33_04_S118
GSM3170736	C33_05_S129
GSM3170737	C33_06_S130
GSM3170738	C33_07_S141
GSM3170739	C33_08_S142
GSM3170740	C33_09_S153
GSM3170741	C33_10_S154
GSM3170742	C33_11_S165
GSM3170743	C33_12_S166
GSM3170744	C33_13_S177
GSM3170745	C33_14_S178
GSM3170746	C33_15_S189
GSM3170747	C33_16_S190
GSM3170748	C34_01_S107
GSM3170749	C34_02_S108
GSM3170750	C34_03_S119
GSM3170751	C34_04_S120
GSM3170752	C34_05_S131
GSM3170753	C34_06_S132
GSM3170754	C34_07_S143
GSM3170755	C34_08_S144
GSM3170756	C34_09_S155
GSM3170757	C34_10_S156
GSM3170758	C34_11_S167
GSM3170759	C34_12_S168
GSM3170760	C34_13_S179
GSM3170761	C34_14_pos_S180
GSM3170762	C34_15_S191
GSM3170763	C34_16_neg_S192
GSM3170186	D12_C13_01_S169
GSM3170187	D12_C13_02_S170
GSM3170188	D12_C13_03_S181
GSM3170189	D12_C13_04_S182
GSM3170190	D12_C13_05_S193
GSM3170191	D12_C13_06_S194
GSM3170192	D12_C13_07_S205
GSM3170193	D12_C13_08_S206
GSM3170194	D12_C13_09_S217
GSM3170195	D12_C13_10_S218
GSM3170196	D12_C13_11_S229
