Accession	Title
GSM3170284	C01_01_S1
GSM3170285	C01_02_S2
GSM3170286	C01_03_S13
GSM3170287	C01_04_S14
GSM3170288	C01_05_S25
GSM3170289	C01_06_S26
GSM3170290	C01_07_S37
GSM3170291	C01_08_S38
GSM3170292	C01_09_S49
GSM3170293	C01_10_S50
GSM3170294	C01_11_S61
GSM3170295	C01_12_S62
GSM3170296	C01_13_S73
GSM3170297	C01_14_S74
GSM3170298	C01_15_S85
GSM3170299	C01_16_S86
GSM3170300	C02_01_S3
GSM3170301	C02_02_S4
GSM3170302	C02_03_S15
GSM3170303	C02_04_S16
GSM3170304	C02_05_S27
GSM3170305	C02_06_S28
GSM3170306	C02_07_S39
GSM3170307	C02_08_S40
GSM3170308	C02_09_S51
GSM3170309	C02_10_S52
GSM3170310	C02_11_S63
GSM3170311	C02_12_S64
GSM3170312	C02_13_S75
GSM3170313	C02_14_S76
GSM3170314	C02_15_S87
GSM3170315	C02_16_S88
GSM3170020	C03_01_S1
GSM3170316	C03_01_S5
GSM3170021	C03_02_S2
GSM3170317	C03_02_S6
GSM3170022	C03_03_S10
GSM3170318	C03_03_S17
GSM3170023	C03_04_S11
GSM3170319	C03_04_S18
GSM3170024	C03_05_S19
GSM3170320	C03_05_S29
GSM3170025	C03_06_S20
GSM3170321	C03_06_S30
GSM3170026	C03_07_S28
GSM3170322	C03_07_S41
GSM3170027	C03_08_S29
GSM3170323	C03_08_S42
GSM3170028	C03_09_S37
GSM3170324	C03_09_S53
GSM3170029	C03_10_S38
GSM3170325	C03_10_S54
GSM3170030	C03_11_S46
GSM3170326	C03_11_S65
GSM3170031	C03_12_S47
GSM3170327	C03_12_S66
GSM3170032	C03_13_S55
GSM3170328	C03_13_S77
GSM3170033	C03_14_S56
GSM3170329	C03_14_S78
GSM3170034	C03_15_S64
GSM3170330	C03_15_S89
GSM3170035	C03_16_S65
GSM3170331	C03_16_S90
GSM3170036	C04_01_S3
GSM3170037	C04_02_S4
GSM3170038	C04_03_S12
GSM3170039	C04_04_S13
GSM3170040	C04_05_S21
GSM3170041	C04_06_S22
GSM3170042	C04_07_S30
GSM3170043	C04_08_S31
GSM3170044	C04_09_S39
GSM3170045	C04_10_S40
GSM3170046	C04_11_S48
GSM3170047	C04_12_S49
GSM3170048	C04_13_S57
GSM3170049	C04_14_S58
GSM3170050	C04_15_S66
GSM3170051	C04_16_S67
GSM3170052	C05_01_S5
GSM3170332	C05_01_S7
GSM3170053	C05_02_S14
GSM3170333	C05_02_S8
GSM3170334	C05_03_S19
GSM3170054	C05_03_S23
GSM3170335	C05_04_S20
GSM3170055	C05_04_S32
GSM3170336	C05_05_S31
GSM3170056	C05_05_S41
GSM3170337	C05_06_S32
GSM3170057	C05_06_S50
GSM3170338	C05_07_S43
GSM3170058	C05_07_S59
GSM3170339	C05_08_S44
